date/time,EC
2020-11-11 08:50:27,1364
2020-11-11 09:20:27,1758
2020-11-11 09:50:27,2387
2020-11-11 10:20:27,3060
2020-11-11 10:50:27,3637
2020-11-11 11:20:27,4125
2020-11-11 11:50:27,4527
2020-11-11 12:20:28,4821
2020-11-11 12:50:28,5066
2020-11-11 13:20:28,5250
2020-11-11 13:50:28,5386
2020-11-11 14:20:28,5491
2020-11-11 14:50:28,5564
2020-11-11 15:20:28,5618
2020-11-11 15:50:28,5654
2020-11-11 16:20:28,5680
2020-11-11 16:50:28,5692
2020-11-11 17:20:29,5694
2020-11-11 17:50:29,5698
2020-11-11 18:20:29,5724
2020-11-11 18:50:29,5731
2020-11-11 19:20:29,5713
2020-11-11 19:50:29,5681
2020-11-11 20:20:29,5641
